QualityArea,OverallQual,GarageCars,BsmtQual,KitchenQual,MSSubClass,TotalBath,Fireplaces,ExterQual,LotArea,HouseAge,BsmtExposure,OverallCond,RemodAge,TotalSF,ScreenPorch,Functional,MasVnrArea,WoodDeckSF,TotRmsAbvGrd,BsmtFinType1,BsmtFullBath,HeatingQC,1stFlrSF,GarageType,LotShape,RoofStyle,LotFrontage,SaleCondition,BsmtFinSF1,HouseStyle,BldgType,KitchenAbvGr,Neighborhood,Exterior1st,YearBuilt
10116,6,2,2,3,20,3.0,1,3,10240,26,3,6,26,3372,0,6,157.0,384,7,1,1,4,1686,1,3,1,79.0,4,625,2,0,1,14,9,1980
6480,4,2,3,3,20,3.0,1,3,9991,33,3,4,16,2901,0,2,0.0,120,8,1,1,0,1620,1,0,1,70.5,4,1116,2,0,1,19,9,1976
4290,5,2,2,3,85,2.0,0,3,7252,27,0,5,27,1716,0,6,0.0,120,5,2,1,4,858,5,0,3,70.5,4,685,6,0,1,19,13,1982
9107,7,2,2,2,20,3.0,1,2,7200,0,3,5,0,2594,0,6,0.0,216,5,5,1,0,1301,1,3,1,60.0,5,0,2,0,1,21,12,2006
9030,6,2,3,3,20,2.0,1,3,12160,56,3,4,56,3010,0,6,90.0,0,6,1,1,0,1505,1,3,3,128.0,4,1024,2,0,1,12,13,1953
3456,4,1,3,3,20,1.0,0,3,9353,36,3,5,36,1728,0,6,0.0,0,5,5,0,2,864,1,3,1,71.0,0,0,2,0,1,12,8,1970
6120,5,2,2,3,90,3.0,2,3,7018,30,0,5,30,2310,0,6,275.0,120,6,2,2,4,1224,5,3,1,64.0,2,1086,6,2,2,20,9,1979
6915,5,1,2,3,20,2.0,1,3,13284,54,2,5,54,2766,0,6,0.0,511,6,1,1,4,1383,1,3,1,70.5,4,1064,2,0,1,19,13,1954
4080,5,1,3,2,20,1.5,1,2,6600,26,3,9,0,1632,0,6,0.0,0,5,0,0,0,816,1,3,1,60.0,4,641,2,0,1,11,12,1982
9408,7,4,2,3,90,4.0,0,3,7060,11,1,5,10,2688,0,6,200.0,0,8,2,2,0,1344,1,3,1,78.0,2,1309,6,2,2,11,12,1997
9744,7,2,2,2,160,2.0,0,2,3604,1,3,5,1,2081,0,6,0.0,0,5,5,0,0,703,5,3,1,34.0,0,0,5,4,1,21,12,2007
5325,5,2,3,3,20,1.5,0,3,8892,47,3,5,47,2130,0,6,66.0,74,6,5,0,2,1065,5,0,1,80.0,4,0,2,0,1,12,8,1960
6250,5,2,3,3,50,2.0,1,3,5362,97,3,6,4,1911,0,6,0.0,242,8,5,0,0,661,5,3,1,53.0,4,0,0,0,1,6,13,1910
5808,4,0,3,3,190,2.0,0,3,4456,89,3,5,1,2188,0,6,0.0,0,8,5,0,2,736,1,3,1,33.0,5,0,5,1,3,17,8,1920
6576,6,0,3,3,50,1.0,0,3,9600,84,3,5,58,1668,0,6,0.0,0,5,5,0,1,572,1,3,1,60.0,4,0,0,0,1,7,13,1924
9996,7,2,2,2,20,2.0,0,2,11639,1,3,5,0,2856,0,6,0.0,0,6,5,0,0,1428,1,3,1,95.0,5,0,2,0,1,21,5,2007
9948,6,2,2,3,60,3.5,1,3,8000,13,3,5,12,2431,0,6,0.0,224,8,2,1,2,773,1,3,1,65.0,4,219,5,0,1,8,6,1995
4320,5,2,3,2,20,2.0,0,3,7200,57,3,8,5,1728,0,6,0.0,194,5,0,1,2,864,5,3,1,60.0,4,398,2,0,1,12,12,1950
9640,5,0,3,3,190,2.0,0,3,7082,90,2,8,11,2614,0,6,0.0,0,10,5,0,2,948,1,3,1,60.0,4,0,5,1,2,18,12,1916
9222,6,2,3,2,20,2.5,1,2,8400,46,3,9,3,2856,0,6,237.0,0,7,5,1,4,1537,1,3,1,80.0,0,0,2,0,1,12,13,1962
13041,7,3,2,2,60,2.5,1,2,14054,0,0,5,0,2742,0,6,0.0,100,9,5,0,0,879,3,0,1,58.0,5,0,5,0,1,8,12,2006
20070,10,3,0,0,60,3.5,1,0,11003,1,0,5,1,3024,0,6,160.0,168,10,2,1,0,1026,1,3,1,85.0,4,765,5,0,1,21,12,2008
16128,9,3,0,0,20,3.0,1,2,11846,3,1,5,2,3584,0,6,562.0,206,6,2,1,0,1792,1,0,3,72.0,4,1567,2,0,1,16,12,2003
4840,5,2,3,3,30,1.0,0,2,8520,84,3,6,1,1936,0,6,0.0,0,5,5,0,4,968,5,3,1,60.0,4,0,2,0,1,17,13,1923
15924,6,2,3,2,60,3.5,1,3,11029,38,2,7,22,3708,222,6,220.0,0,9,1,1,4,1512,1,0,1,80.0,4,619,5,0,1,14,6,1968
3840,4,1,3,3,80,1.5,0,3,10246,41,0,9,5,1608,0,6,0.0,88,3,2,1,0,960,1,0,1,70.5,4,648,7,0,1,19,12,1965
27750,10,2,3,2,75,3.5,1,0,13500,115,3,9,8,4012,0,6,0.0,105,9,5,0,2,1521,5,3,1,75.0,4,0,4,0,1,17,13,1893
23787,9,3,2,0,60,2.5,1,0,13693,1,0,5,1,4796,0,6,772.0,414,9,5,0,0,2069,3,3,3,105.0,4,0,5,0,1,16,12,2006
13168,8,2,0,2,120,3.5,1,2,3842,4,1,5,3,3240,155,6,174.0,128,5,2,1,0,1646,1,0,3,44.0,4,1373,2,4,1,6,5,2004
7788,6,2,2,2,20,3.0,1,2,11200,21,3,5,21,2596,0,6,85.0,165,5,2,1,4,1298,1,3,1,66.0,4,1258,2,0,1,20,13,1985
13552,8,3,2,2,20,2.0,0,2,10475,2,0,5,2,3388,0,6,72.0,160,7,5,0,0,1694,1,0,1,64.0,4,0,2,0,1,5,12,2008
5748,6,1,3,3,20,1.0,0,3,12772,47,2,8,9,1916,0,6,0.0,0,5,1,0,4,958,1,0,3,74.5,4,498,2,0,1,12,8,1960
4995,5,1,3,3,85,2.0,0,3,10205,44,0,5,44,1924,0,6,0.0,150,6,1,1,4,999,1,0,1,69.0,4,784,6,0,1,12,8,1962
5100,5,0,3,3,50,1.0,0,3,6342,135,3,8,14,1800,0,6,0.0,0,6,5,0,2,780,1,3,1,54.0,4,0,0,0,1,19,12,1875
11718,7,2,2,2,60,3.5,0,2,7500,10,3,5,10,2488,0,6,0.0,0,7,2,1,0,814,1,3,1,73.5,4,533,5,0,1,21,12,2000
16904,8,3,2,2,20,3.5,1,2,10437,13,1,6,13,4222,0,6,660.0,236,7,2,1,0,2113,1,0,3,91.0,4,1696,2,0,1,15,8,1995
12180,6,2,3,2,60,2.5,1,3,12046,31,3,6,31,2878,0,6,298.0,0,8,3,0,4,1118,1,0,1,80.0,4,156,5,0,1,14,9,1976
7302,6,1,2,3,160,1.5,1,3,10762,29,3,6,29,1843,0,6,0.0,0,6,5,0,4,626,1,3,1,75.0,4,0,5,4,1,20,9,1980
17352,8,2,2,2,60,2.5,1,2,9375,5,3,5,5,3453,0,6,149.0,192,7,5,0,0,1284,1,3,1,70.0,4,0,5,0,1,5,12,2002
12950,7,2,2,2,60,2.5,1,2,29959,15,3,6,15,2823,0,6,0.0,168,7,2,0,0,979,3,1,1,90.5,4,595,5,0,1,15,6,1994
5720,5,1,3,3,20,2.5,0,3,9204,45,3,5,45,2288,0,6,0.0,0,6,1,1,4,1144,5,3,1,71.0,4,25,2,0,1,12,6,1963
10528,7,2,2,2,120,2.0,1,2,3182,3,3,5,2,2850,0,6,14.0,156,7,2,0,0,1504,1,3,1,43.0,4,16,2,4,1,0,12,2005
7854,6,2,3,2,20,2.5,1,3,10140,32,3,6,7,2349,0,6,99.0,265,5,0,1,1,1309,1,3,3,78.0,4,663,2,0,1,14,6,1974
7548,6,1,3,3,50,1.0,0,3,9060,70,2,5,59,1818,0,6,0.0,0,6,4,0,4,698,5,3,1,60.0,4,204,0,0,1,7,14,1939
7110,5,1,3,3,20,1.0,1,3,12342,47,3,5,29,2400,0,2,0.0,0,6,5,0,4,1422,1,0,3,74.5,4,0,2,0,1,12,13,1960
8652,6,1,3,3,20,1.5,0,3,9750,49,3,6,49,2884,0,6,243.0,0,7,4,0,2,1442,1,3,1,75.0,4,608,2,0,1,12,8,1958
6000,5,1,3,3,50,1.0,0,3,11767,62,3,6,13,1968,0,6,0.0,0,6,1,0,0,768,5,3,1,70.0,4,352,0,0,1,7,8,1946
9984,6,2,2,3,60,2.5,1,3,8121,6,3,5,6,2617,0,6,0.0,100,7,5,0,0,953,1,0,1,65.0,4,0,5,0,1,8,12,2000
6800,5,2,3,3,80,1.0,1,3,7134,52,3,5,52,1744,0,2,0.0,0,6,0,0,4,1360,5,3,1,60.0,4,384,7,0,1,12,8,1955
11312,8,2,0,2,60,2.5,1,2,9056,2,0,5,2,2121,0,6,0.0,100,6,5,0,0,707,1,0,1,74.0,4,0,5,0,1,8,12,2004
8052,6,2,3,3,20,2.0,1,3,9790,42,3,5,42,2714,197,6,0.0,0,7,4,0,4,1342,1,3,1,80.0,4,251,2,0,1,14,3,1967
5590,5,2,2,3,190,2.0,1,3,7800,67,2,7,56,1911,271,6,0.0,0,5,4,1,4,793,5,3,1,65.0,4,507,0,1,1,17,8,1939
14070,6,2,2,3,70,2.5,1,3,16560,74,3,8,56,3297,0,6,0.0,0,9,4,0,4,1170,5,0,1,80.0,4,503,5,0,1,6,13,1932
11064,6,2,2,3,20,2.0,1,3,11751,33,3,6,33,3688,0,6,480.0,0,7,1,0,0,1844,1,0,3,105.0,4,705,2,0,1,14,9,1977
5922,6,1,3,3,160,1.5,0,3,1680,37,3,5,37,1470,0,6,232.0,0,4,0,0,4,483,5,3,1,21.0,0,387,5,3,1,2,6,1971
9660,6,2,3,2,20,3.0,2,3,10603,33,2,7,9,3220,0,6,28.0,168,6,0,1,2,1610,1,0,1,80.0,4,1200,2,0,1,14,9,1977
6480,6,2,3,3,20,1.5,0,3,9187,24,3,5,24,2164,0,6,0.0,120,5,0,0,4,1080,1,3,1,71.0,4,336,2,0,1,11,12,1983
6488,4,4,3,3,190,2.0,1,3,32463,46,0,4,32,2871,0,6,149.0,439,7,1,1,0,1622,0,3,1,71.0,4,1159,2,1,1,11,8,1961
9066,6,2,2,3,60,3.5,1,3,11207,9,0,5,9,2313,0,6,0.0,95,8,2,1,2,802,1,0,1,70.0,4,714,5,0,1,8,12,1997
5760,5,2,3,3,80,2.0,1,3,14112,46,0,7,46,2304,0,6,86.0,227,6,2,1,4,1152,1,0,3,74.5,4,1014,7,0,1,12,13,1964
7790,5,1,3,3,50,1.5,0,3,13710,57,3,5,57,2468,0,6,0.0,289,6,1,0,4,910,1,3,1,75.0,4,420,0,0,1,9,13,1950
15288,8,2,2,2,60,2.5,1,2,9554,13,3,5,12,2688,0,6,125.0,182,8,2,0,0,1065,1,0,1,80.0,4,380,5,0,1,20,12,1993
6530,5,1,3,3,20,2.0,0,3,8712,52,2,7,9,2298,0,6,0.0,0,5,1,1,4,1306,5,0,3,64.0,4,860,2,0,1,12,8,1957
10690,5,2,3,3,75,2.0,0,3,8100,111,3,5,44,2987,0,6,0.0,40,11,5,0,4,1075,5,3,3,90.0,4,0,4,0,3,17,0,1898
19728,8,2,2,2,60,3.0,1,2,11143,3,3,5,2,4046,0,6,0.0,159,8,5,0,0,1580,1,0,1,102.0,4,0,5,0,1,21,5,2004
10404,6,2,3,2,50,1.5,1,3,9786,44,3,7,25,2646,128,6,0.0,0,7,4,0,4,1085,1,0,1,77.0,4,600,0,0,1,12,13,1962
6948,6,1,3,3,50,1.0,1,3,6000,79,3,7,58,2020,0,6,0.0,0,5,5,0,4,950,3,3,1,50.0,4,0,0,0,1,3,14,1929
8855,5,2,3,3,20,1.0,1,3,21750,49,3,4,3,1771,0,2,75.0,0,9,5,0,4,1771,1,3,3,100.0,4,0,2,0,1,11,6,1960
5748,6,2,2,3,120,2.0,1,3,4928,31,3,5,31,2036,0,6,0.0,0,5,0,0,4,958,1,0,1,24.0,4,120,2,4,1,13,9,1976
16452,9,3,0,2,20,2.0,1,0,11694,0,0,5,0,3650,260,6,452.0,0,9,2,0,0,1828,1,3,3,90.0,5,48,2,0,1,16,5,2007
8580,5,1,3,3,50,1.5,1,3,11409,60,3,4,1,2484,160,3,0.0,0,8,3,0,2,1148,1,3,1,60.0,4,292,0,0,1,7,13,1949
24417,9,3,0,0,60,3.5,1,0,14948,0,0,5,0,4165,0,6,268.0,126,11,2,1,0,1476,1,0,3,67.0,5,1330,5,0,1,16,12,2008
8202,6,1,3,3,50,1.0,1,3,6240,76,3,6,57,2251,120,6,0.0,0,6,3,0,4,959,5,3,1,52.0,4,425,0,0,1,3,13,1931
12782,7,1,3,0,70,2.5,1,2,2500,94,3,8,4,2736,0,3,0.0,0,7,0,1,0,916,1,3,1,50.0,4,299,5,0,1,17,11,1915
7200,6,2,2,2,20,3.0,0,2,11249,12,3,5,12,2400,0,6,0.0,0,6,0,1,0,1200,1,1,1,105.0,4,334,2,0,1,5,12,1995
6910,5,2,3,3,50,1.5,0,3,12358,66,3,6,57,1574,0,6,0.0,237,7,4,0,4,854,5,0,1,60.0,4,360,0,0,1,17,8,1941
8736,6,2,2,2,60,2.5,0,3,8029,3,3,5,3,2184,0,6,0.0,100,8,5,0,0,728,1,0,1,51.0,4,0,5,0,1,8,12,2005
19584,8,3,2,2,60,3.5,1,2,46589,15,3,7,4,4077,0,6,528.0,517,8,2,1,0,1686,1,1,3,52.0,4,1361,5,0,1,15,12,1994
9820,5,0,3,3,70,1.5,0,3,8525,97,0,6,58,2904,0,6,0.0,0,7,5,0,4,1024,1,3,1,55.0,0,0,5,0,1,18,8,1911
6552,6,2,2,3,20,2.0,0,3,8250,44,3,7,44,2184,0,6,260.0,0,6,4,1,0,1092,1,3,3,75.0,4,787,2,0,1,12,6,1964
5565,5,1,3,2,20,1.0,1,2,9600,59,3,7,2,2226,0,6,0.0,0,5,0,0,2,1113,1,3,1,80.0,4,607,2,0,1,12,8,1950
3456,4,0,3,3,20,1.0,1,3,10500,39,3,5,39,1728,0,6,0.0,0,5,0,0,4,864,1,3,1,70.0,4,432,2,0,1,12,6,1971
12628,7,2,3,2,60,2.5,1,3,7500,11,3,5,11,2798,0,6,0.0,140,7,5,0,2,1028,1,3,1,60.0,4,0,5,0,1,8,12,1999
8160,5,2,3,3,90,2.0,0,3,25000,40,0,4,40,3264,0,6,0.0,0,8,5,0,4,1632,1,3,1,100.0,4,0,2,2,2,11,6,1967
15684,6,2,3,3,60,2.5,1,3,10800,34,3,7,11,4136,0,6,0.0,38,9,0,0,4,1548,1,3,1,90.0,4,956,5,0,1,14,6,1974
9198,7,2,2,2,120,3.0,1,2,5001,2,3,5,1,2628,0,6,166.0,172,6,2,1,0,1314,1,0,1,34.0,4,904,2,3,1,16,12,2007
13461,7,2,2,2,60,3.5,1,2,10186,18,3,5,18,2673,0,6,0.0,240,8,2,1,0,1061,1,0,1,107.0,4,674,5,0,1,15,6,1992
10388,7,2,2,2,20,3.0,0,2,8400,6,0,5,5,2957,0,6,109.0,0,7,2,1,0,1484,1,3,1,70.0,4,712,2,0,1,5,12,2004
2832,4,0,3,1,30,1.0,0,1,5330,69,3,7,59,1128,0,6,0.0,164,5,3,0,2,708,1,3,3,50.0,4,280,2,0,1,3,12,1940
13704,8,3,0,0,20,3.0,1,2,9591,5,0,5,4,3426,170,6,262.0,0,7,2,1,0,1713,1,3,3,76.0,4,1088,2,0,1,16,12,2004
6345,5,1,3,3,20,1.5,1,3,7931,48,3,6,48,2538,0,6,0.0,0,6,1,0,4,1269,5,3,1,70.0,4,374,2,0,1,12,3,1960
16776,8,3,0,0,20,2.5,1,2,20896,1,2,5,0,4174,0,6,0.0,192,8,2,1,0,2097,1,1,1,49.0,5,1721,2,0,1,21,12,2005
4320,5,1,3,3,20,1.0,0,3,9560,34,2,7,34,1728,0,6,0.0,0,5,4,0,0,864,1,0,3,120.0,4,360,2,0,1,5,8,1972
19656,9,3,0,0,60,3.5,1,0,11308,1,0,5,1,3288,0,6,154.0,0,10,2,1,0,1130,1,0,1,96.0,4,936,5,0,1,16,12,2008
12992,8,3,2,2,20,3.0,1,2,12461,12,3,5,11,3248,0,6,0.0,0,5,2,1,0,1624,1,3,1,89.0,4,1456,2,0,1,15,7,1994
5200,5,1,3,3,20,2.0,0,3,11200,43,3,5,43,2080,0,6,0.0,0,5,4,1,0,1040,5,3,3,70.0,4,906,2,0,1,19,6,1965
14245,7,2,2,2,60,2.5,1,2,9505,9,3,5,9,2919,0,6,180.0,144,8,5,0,0,884,3,0,1,65.0,4,0,5,0,1,8,12,2001
11952,8,2,2,0,120,2.5,1,2,9549,11,0,5,10,2988,216,6,0.0,0,6,3,1,0,1494,1,0,3,30.0,4,437,2,4,1,24,3,1995
9198,7,2,2,2,120,3.0,1,2,5063,2,3,5,1,2628,0,6,166.0,172,6,2,1,0,1314,1,3,1,34.0,4,904,2,3,1,16,12,2007
10458,6,2,3,3,60,2.5,1,2,11700,39,3,6,39,2445,0,6,365.0,224,7,0,0,2,1041,1,3,4,90.0,4,384,5,0,1,14,6,1968
14889,7,3,0,2,60,3.5,1,2,13125,16,2,5,16,3231,0,6,0.0,72,8,1,1,0,912,1,0,1,103.0,4,48,5,0,1,20,6,1991
8580,5,0,3,1,190,3.0,0,3,5687,96,3,6,8,2496,0,6,0.0,0,9,4,1,0,936,1,3,1,55.0,4,210,5,1,1,18,12,1912
9506,7,2,2,2,120,3.0,1,2,6371,1,2,5,0,2716,0,6,128.0,192,6,2,1,0,1358,1,0,1,44.0,5,733,2,4,1,16,12,2009
10010,7,2,2,3,80,2.5,1,3,9967,7,3,5,7,1814,0,6,0.0,100,8,5,0,0,774,3,0,1,76.0,4,0,7,0,1,8,12,2000
8547,7,2,2,2,20,3.0,0,2,7500,5,3,5,4,2442,0,6,0.0,0,6,2,1,0,1221,1,3,1,62.0,4,410,2,0,1,21,12,2004
14658,7,2,2,2,60,2.5,1,2,9375,6,3,5,5,3006,0,6,0.0,182,8,5,0,0,912,3,3,1,75.0,4,0,5,0,1,21,12,2003
4320,5,1,3,3,20,1.0,1,3,8281,44,3,5,44,1728,0,6,0.0,0,5,4,0,2,864,5,0,1,60.0,4,553,2,0,1,19,8,1965
5265,5,2,3,0,20,2.0,0,3,8973,48,3,7,15,2061,0,6,85.0,0,6,4,0,4,1053,0,3,1,69.0,0,567,2,0,1,12,9,1958
8505,5,2,2,3,85,3.0,2,3,16647,32,1,5,26,3091,0,3,0.0,0,6,0,1,4,1701,2,0,1,70.5,4,1390,6,0,1,19,6,1975
5280,5,1,3,3,20,2.0,0,3,8176,49,3,6,15,2112,0,6,0.0,0,6,4,1,1,1056,1,3,1,70.0,4,846,2,0,1,12,13,1958
3489,3,1,3,3,20,2.0,0,3,5820,51,3,8,1,2325,0,6,0.0,142,6,0,1,0,1163,1,3,1,49.0,4,256,2,0,1,17,12,1955
11655,7,2,2,2,60,2.5,0,2,8125,1,3,6,1,2478,0,6,0.0,0,7,5,0,0,822,1,3,1,65.0,4,0,5,0,1,21,5,2007
7176,6,2,3,2,50,1.0,0,3,12354,89,2,8,9,1880,0,6,0.0,0,7,5,0,2,684,5,3,1,67.0,4,0,0,0,1,7,13,1920
28260,9,3,0,0,60,3.5,2,0,13518,1,3,5,0,5066,0,6,860.0,144,11,5,0,0,1966,3,3,3,104.0,5,0,5,0,1,16,12,2008
11774,7,2,3,3,20,2.0,1,3,10400,38,3,6,38,2986,0,6,288.0,98,7,5,0,2,1682,1,3,3,80.0,4,0,2,0,1,14,9,1970
5360,5,2,2,3,180,2.0,0,3,3675,1,1,5,1,1619,0,6,80.0,0,5,2,1,2,1072,2,3,1,35.0,4,547,7,4,1,7,12,2005
10829,7,2,2,2,60,2.5,0,3,8640,1,2,5,1,2303,0,6,0.0,169,7,2,0,0,764,1,3,1,72.0,4,24,5,0,1,21,12,2009
17145,9,3,0,0,20,2.0,1,0,11670,1,3,5,1,3810,0,6,302.0,0,8,5,0,0,1905,1,0,3,84.0,4,0,2,0,1,21,12,2006
11627,7,2,2,2,60,3.5,1,2,10667,13,0,6,13,2460,0,6,0.0,158,6,2,1,0,827,1,1,1,43.0,4,385,5,0,1,5,12,1996
8100,6,2,3,3,80,2.5,0,3,9020,44,1,5,44,2598,0,6,259.0,176,6,2,1,4,1350,1,3,1,82.0,4,624,7,0,1,12,9,1964
11070,6,2,2,2,60,2.5,1,2,11218,18,3,5,18,2900,0,6,0.0,635,8,5,0,0,1055,1,3,1,70.0,4,0,5,0,1,20,13,1992
8005,5,1,3,3,80,1.5,0,3,13825,50,3,6,21,2134,0,3,0.0,280,6,5,0,4,1021,3,3,1,85.0,4,0,7,0,1,19,8,1958
8988,6,2,2,3,60,2.5,1,3,13031,11,3,5,10,2189,0,6,0.0,315,6,0,0,2,691,1,1,1,65.0,4,592,5,0,1,8,6,1995
13629,7,2,2,2,60,2.5,1,2,12552,6,3,5,5,2938,0,6,0.0,0,8,2,0,0,991,1,3,1,100.0,4,222,5,0,1,21,12,2004
5490,5,1,3,3,20,2.0,0,3,7390,53,3,7,53,2196,0,6,151.0,0,6,0,1,4,1098,1,0,3,74.5,4,902,2,0,1,12,13,1955
6324,6,2,2,3,20,2.5,0,3,9750,39,3,8,39,2108,80,6,0.0,180,6,0,1,2,1054,1,3,1,65.0,4,602,2,0,1,12,6,1969
4640,5,1,3,3,20,1.0,0,3,6000,51,3,6,51,1856,0,6,0.0,0,5,4,0,2,928,1,3,3,50.0,4,308,2,0,1,17,3,1957
12740,7,1,3,3,50,3.0,0,3,9120,83,3,6,58,2846,0,6,0.0,0,8,4,1,0,1133,5,3,1,60.0,4,329,0,0,1,3,13,1925
21574,7,2,3,3,75,3.5,2,3,15863,89,3,3,39,3509,0,6,0.0,136,12,2,1,0,1687,2,3,1,102.0,4,523,3,0,1,18,13,1920
7152,4,1,3,3,50,2.0,2,3,11250,52,0,5,20,2892,0,3,0.0,120,8,5,1,0,1104,1,3,1,80.0,4,0,0,0,1,4,13,1957
5110,5,1,3,3,30,2.0,0,3,7200,99,3,4,3,2044,0,1,0.0,0,4,0,1,4,1022,5,3,3,60.0,4,247,2,0,1,17,8,1910
