QualityArea,OverallQual,GarageCars,KitchenQual,BsmtQual,MSSubClass,TotalBath,ExterQual,Fireplaces,BsmtExposure,LotArea,HouseAge,OverallCond,TotalSF,MasVnrArea,TotRmsAbvGrd,RemodAge,ScreenPorch,Functional,WoodDeckSF,BsmtFinType1,BsmtFullBath,RoofStyle,GarageFinish,LotFrontage,1stFlrSF,LotShape,BldgType,HeatingQC,HouseStyle,FireplaceQu,BsmtCond,SaleCondition,GarageType,KitchenAbvGr,BsmtFinSF1,Neighborhood,Exterior1st,3SsnPorch,PoolArea
23787,9,3,0,2,60,2.5,0,1,0,13693,1,5,4796,772.0,9,1,0,6,414,6,0,3,0,105.0,2069,3,0,0,5,2,4,4,3,1,0,16,12,0,0
13168,8,2,2,0,120,3.5,2,1,1,3842,4,5,3240,174.0,5,3,155,6,128,2,1,3,0,44.0,1646,0,4,0,2,2,4,4,1,1,1373,6,5,0,0
7788,6,2,2,2,20,3.0,2,1,3,11200,21,5,2596,85.0,5,21,0,6,165,2,1,1,3,66.0,1298,3,0,4,2,5,4,4,1,1,1258,20,13,0,0
13552,8,3,2,2,20,2.0,2,0,0,10475,2,5,3388,72.0,7,2,0,6,160,6,0,1,2,64.0,1694,0,0,0,2,3,4,4,1,1,0,5,12,0,0
5748,6,1,3,4,20,1.0,3,0,2,12772,47,8,1916,0.0,5,9,0,6,0,1,0,3,2,74.5,958,0,0,4,2,3,4,4,1,1,498,12,8,0,0
4995,5,1,3,4,85,2.0,3,0,0,10205,44,5,1924,0.0,6,44,0,6,150,1,1,1,3,69.0,999,0,0,4,6,3,4,4,1,1,784,12,8,0,0
5100,5,0,3,4,50,1.0,3,0,3,6342,135,8,1800,0.0,6,14,0,6,0,6,0,1,1,54.0,780,3,0,2,0,3,4,4,6,1,0,19,12,0,0
11718,7,2,2,2,60,3.5,2,0,3,7500,10,5,2488,0.0,7,10,0,6,0,2,1,1,2,73.5,814,3,0,0,5,3,4,4,1,1,533,21,12,0,0
16904,8,3,2,2,20,3.5,2,1,1,10437,13,6,4222,660.0,7,13,0,6,236,2,1,3,0,91.0,2113,0,0,0,2,5,4,4,1,1,1696,15,8,0,0
12180,6,2,2,4,60,2.5,3,1,3,12046,31,6,2878,298.0,8,31,0,6,0,3,0,1,0,80.0,1118,0,0,4,5,5,4,4,1,1,156,14,9,0,0
7302,6,1,3,2,160,1.5,3,1,3,10762,29,6,1843,0.0,6,29,0,6,0,6,0,1,2,75.0,626,3,4,4,5,5,4,4,1,1,0,20,9,0,0
17352,8,2,2,2,60,2.5,2,1,3,9375,5,5,3453,149.0,7,5,0,6,192,6,0,1,2,70.0,1284,3,0,0,5,2,4,4,1,1,0,5,12,0,0
12950,7,2,2,2,60,2.5,2,1,3,29959,15,6,2823,0.0,7,15,0,6,168,2,0,1,0,90.5,979,1,0,0,5,2,4,4,3,1,595,15,6,0,0
5720,5,1,3,4,20,2.5,3,0,3,9204,45,5,2288,0.0,6,45,0,6,0,1,1,1,3,71.0,1144,3,0,4,2,3,4,4,5,1,25,12,6,0,0
10528,7,2,2,2,120,2.0,2,1,3,3182,3,5,2850,14.0,7,2,0,6,156,2,0,1,0,43.0,1504,3,4,0,2,2,1,4,1,1,16,0,12,0,0
7854,6,2,2,4,20,2.5,3,1,3,10140,32,6,2349,99.0,5,7,0,6,265,0,1,3,2,78.0,1309,3,0,1,2,1,4,4,1,1,663,14,6,0,648
7548,6,1,3,4,50,1.0,3,0,2,9060,70,5,1818,0.0,6,59,0,6,0,5,0,1,3,60.0,698,3,0,4,0,3,4,4,5,1,204,7,14,0,0
7110,5,1,3,4,20,1.0,3,1,3,12342,47,5,2400,0.0,6,29,0,2,0,6,0,3,2,74.5,1422,0,0,4,2,5,4,4,1,1,0,12,13,0,0
8652,6,1,3,4,20,1.5,3,0,3,9750,49,6,2884,243.0,7,49,0,6,0,5,0,1,2,75.0,1442,3,0,2,2,3,4,4,1,1,608,12,8,0,0
6000,5,1,3,4,50,1.0,3,0,3,11767,62,6,1968,0.0,6,13,0,6,0,1,0,1,3,70.0,768,3,0,0,0,3,4,4,5,1,352,7,8,0,0
9984,6,2,3,2,60,2.5,3,1,3,8121,6,5,2617,0.0,7,6,0,6,100,6,0,1,2,65.0,953,0,0,0,5,5,4,4,1,1,0,8,12,0,0
6800,5,2,3,4,80,1.0,3,1,3,7134,52,5,1744,0.0,6,52,0,2,0,0,0,1,3,60.0,1360,3,0,4,7,5,4,4,5,1,384,12,8,0,0
11312,8,2,2,0,60,2.5,2,1,0,9056,2,5,2121,0.0,6,2,0,6,100,6,0,1,0,74.0,707,0,0,0,5,2,1,4,1,1,0,8,12,0,0
8052,6,2,3,4,20,2.0,3,1,3,9790,42,5,2714,0.0,7,42,197,6,0,5,0,1,3,80.0,1342,3,0,4,2,2,4,4,1,1,251,14,3,0,0
5590,5,2,3,2,190,2.0,3,1,2,7800,67,7,1911,0.0,5,56,271,6,0,5,1,1,3,65.0,793,3,1,4,0,2,4,4,5,1,507,17,8,0,0
14070,6,2,3,2,70,2.5,3,1,3,16560,74,8,3297,0.0,9,56,0,6,0,5,0,1,3,80.0,1170,0,0,4,5,2,4,4,5,1,503,6,13,0,0
11064,6,2,3,2,20,2.0,3,1,3,11751,33,6,3688,480.0,7,33,0,6,0,1,0,3,2,105.0,1844,0,0,0,2,5,4,4,1,1,705,14,9,0,0
5922,6,1,3,4,160,1.5,3,0,3,1680,37,5,1470,232.0,4,37,0,6,0,0,0,1,3,21.0,483,3,3,4,5,3,4,0,5,1,387,2,6,0,0
9660,6,2,2,4,20,3.0,3,2,2,10603,33,7,3220,28.0,6,9,0,6,168,0,1,1,2,80.0,1610,0,0,2,2,5,4,4,1,1,1200,14,9,0,0
6480,6,2,3,4,20,1.5,3,0,3,9187,24,5,2164,0.0,5,24,0,6,120,0,0,1,3,71.0,1080,3,0,4,2,3,4,4,1,1,336,11,12,0,0
6488,4,4,3,4,190,2.0,3,1,0,32463,46,4,2871,149.0,7,32,0,6,439,1,1,1,0,71.0,1622,3,1,0,2,5,4,4,0,1,1159,11,8,0,0
9066,6,2,3,2,60,3.5,3,1,0,11207,9,5,2313,0.0,8,9,0,6,95,2,1,1,0,70.0,802,0,0,2,5,5,4,4,1,1,714,8,12,0,0
5760,5,2,3,4,80,2.0,3,1,0,14112,46,7,2304,86.0,6,46,0,6,227,2,1,3,2,74.5,1152,0,0,4,7,2,4,4,1,1,1014,12,13,0,0
7790,5,1,3,4,50,1.5,3,0,3,13710,57,5,2468,0.0,6,57,0,6,289,1,0,1,3,75.0,910,3,0,4,0,3,4,4,1,1,420,9,13,0,0
15288,8,2,2,2,60,2.5,2,1,3,9554,13,5,2688,125.0,8,12,0,6,182,2,0,1,2,80.0,1065,0,0,0,5,5,4,4,1,1,380,20,12,0,0
6530,5,1,3,4,20,2.0,3,0,2,8712,52,7,2298,0.0,5,9,0,6,0,1,1,3,3,64.0,1306,0,0,4,2,3,4,4,5,1,860,12,8,0,0
10690,5,2,3,4,75,2.0,3,0,3,8100,111,5,2987,0.0,11,44,0,6,40,6,0,3,3,90.0,1075,3,0,4,4,3,4,4,5,3,0,17,0,0,0
19728,8,2,2,2,60,3.0,2,1,3,11143,3,5,4046,0.0,8,2,0,6,159,6,0,1,2,102.0,1580,0,0,0,5,2,4,4,1,1,0,21,5,0,0
10404,6,2,2,4,50,1.5,3,1,3,9786,44,7,2646,0.0,7,25,128,6,0,5,0,1,2,77.0,1085,0,0,4,0,2,4,4,1,1,600,12,13,0,0
6948,6,1,3,4,50,1.0,3,1,3,6000,79,7,2020,0.0,5,58,0,6,0,6,0,1,2,50.0,950,3,0,4,0,2,4,4,3,1,0,3,14,0,0
8855,5,2,3,3,20,1.0,3,1,4,21750,49,4,1771,75.0,9,3,0,2,0,4,0,3,3,100.0,1771,3,0,4,2,5,2,4,1,1,0,11,6,0,0
5748,6,2,3,2,120,2.0,3,1,3,4928,31,5,2036,0.0,5,31,0,6,0,0,0,1,2,24.0,958,0,4,4,2,5,4,4,1,1,120,13,9,0,0
16452,9,3,2,0,20,2.0,0,1,0,11694,0,5,3650,452.0,9,0,260,6,0,2,0,3,3,90.0,1828,3,0,0,2,2,4,5,1,1,48,16,5,0,0
8580,5,1,3,4,50,1.5,3,1,3,11409,60,4,2484,0.0,8,1,160,3,0,3,0,1,3,60.0,1148,3,0,2,0,2,4,4,1,1,292,7,13,0,0
24417,9,3,0,0,60,3.5,0,1,0,14948,0,5,4165,268.0,11,0,0,6,126,2,1,3,0,67.0,1476,0,0,0,5,2,4,5,1,1,1330,16,12,0,0
8202,6,1,3,4,50,1.0,3,1,3,6240,76,6,2251,0.0,6,57,120,6,0,3,0,1,3,52.0,959,3,0,4,0,2,0,4,5,1,425,3,13,0,0
12782,7,1,0,4,70,2.5,2,1,3,2500,94,8,2736,0.0,7,4,0,3,0,0,1,1,3,50.0,916,3,0,0,5,2,4,4,1,1,299,17,11,0,0
7200,6,2,2,2,20,3.0,2,0,3,11249,12,5,2400,0.0,6,12,0,6,0,0,1,1,2,105.0,1200,1,0,0,2,3,1,4,1,1,334,5,12,0,0
6910,5,2,3,4,50,1.5,3,0,3,12358,66,6,1574,0.0,7,57,0,6,237,5,0,1,3,60.0,854,0,0,4,0,3,4,4,5,1,360,17,8,0,0
8736,6,2,2,2,60,2.5,3,0,3,8029,3,5,2184,0.0,8,3,0,6,100,6,0,1,0,51.0,728,0,0,0,5,3,4,4,1,1,0,8,12,0,0
19584,8,3,2,2,60,3.5,2,1,3,46589,15,7,4077,528.0,8,4,0,6,517,2,1,3,2,52.0,1686,1,0,0,5,5,1,4,1,1,1361,15,12,0,0
9820,5,0,3,4,70,1.5,3,0,0,8525,97,6,2904,0.0,7,58,0,6,0,6,0,1,1,55.0,1024,3,0,4,5,3,4,0,6,1,0,18,8,0,0
6552,6,2,3,2,20,2.0,3,0,3,8250,44,7,2184,260.0,6,44,0,6,0,5,1,3,2,75.0,1092,3,0,0,2,3,4,4,1,1,787,12,6,0,0
5565,5,1,2,4,20,1.0,2,1,3,9600,59,7,2226,0.0,5,2,0,6,0,0,0,1,3,80.0,1113,3,0,2,2,2,4,4,1,1,607,12,8,0,0
3456,4,0,3,4,20,1.0,3,1,3,10500,39,5,1728,0.0,5,39,0,6,0,0,0,1,1,70.0,864,3,0,4,2,4,4,4,6,1,432,12,6,0,0
12628,7,2,2,4,60,2.5,3,1,3,7500,11,5,2798,0.0,7,11,0,6,140,6,0,1,0,60.0,1028,3,0,2,5,5,4,4,1,1,0,8,12,0,0
8160,5,2,3,4,90,2.0,3,0,0,25000,40,4,3264,0.0,8,40,0,6,0,6,0,1,3,100.0,1632,3,2,4,2,3,4,4,1,2,0,11,6,0,0
15684,6,2,3,4,60,2.5,3,1,3,10800,34,7,4136,0.0,9,11,0,6,38,0,0,1,2,90.0,1548,3,0,4,5,5,4,4,1,1,956,14,6,0,0
9198,7,2,2,2,120,3.0,2,1,3,5001,2,5,2628,166.0,6,1,0,6,172,2,1,1,2,34.0,1314,0,3,0,2,2,4,4,1,1,904,16,12,0,0
13461,7,2,2,2,60,3.5,2,1,3,10186,18,5,2673,0.0,8,18,0,6,240,2,1,1,2,107.0,1061,0,0,0,5,5,4,4,1,1,674,15,6,0,0
10388,7,2,2,2,20,3.0,2,0,0,8400,6,5,2957,109.0,7,5,0,6,0,2,1,1,2,70.0,1484,3,0,0,2,3,4,4,1,1,712,5,12,144,0
2832,4,0,1,4,30,1.0,1,0,3,5330,69,7,1128,0.0,5,59,0,6,164,3,0,3,1,50.0,708,3,0,2,2,3,4,4,6,1,280,3,12,0,0
13704,8,3,0,0,20,3.0,2,1,0,9591,5,5,3426,262.0,7,4,170,6,0,2,1,3,0,76.0,1713,3,0,0,2,2,4,4,1,1,1088,16,12,0,0
6345,5,1,3,4,20,1.5,3,1,3,7931,48,6,2538,0.0,6,48,0,6,0,1,0,1,3,70.0,1269,3,0,4,2,1,4,4,5,1,374,12,3,0,0
16776,8,3,0,0,20,2.5,2,1,2,20896,1,5,4174,0.0,8,0,0,6,192,2,1,1,0,49.0,2097,1,0,0,2,0,4,5,1,1,1721,21,12,0,0
4320,5,1,3,4,20,1.0,3,0,2,9560,34,7,1728,0.0,5,34,0,6,0,5,0,3,2,120.0,864,0,0,0,2,3,4,4,1,1,360,5,8,0,0
19656,9,3,0,0,60,3.5,0,1,0,11308,1,5,3288,154.0,10,1,0,6,0,2,1,1,0,96.0,1130,0,0,0,5,2,4,4,1,1,936,16,12,0,0
12992,8,3,2,2,20,3.0,2,1,3,12461,12,5,3248,0.0,5,11,0,6,0,2,1,1,2,89.0,1624,3,0,0,2,1,4,4,1,1,1456,15,7,0,0
5200,5,1,3,4,20,2.0,3,0,3,11200,43,5,2080,0.0,5,43,0,6,0,5,1,3,3,70.0,1040,3,0,0,2,3,4,4,5,1,906,19,6,0,0
14245,7,2,2,2,60,2.5,2,1,3,9505,9,5,2919,180.0,8,9,0,6,144,6,0,1,0,65.0,884,0,0,0,5,2,4,4,3,1,0,8,12,0,0
11952,8,2,0,2,120,2.5,2,1,0,9549,11,5,2988,0.0,6,10,216,6,0,3,1,3,0,30.0,1494,0,4,0,2,2,1,4,1,1,437,24,3,0,0
9198,7,2,2,2,120,3.0,2,1,3,5063,2,5,2628,166.0,6,1,0,6,172,2,1,1,2,34.0,1314,3,3,0,2,2,4,4,1,1,904,16,12,0,0
10458,6,2,3,4,60,2.5,2,1,3,11700,39,6,2445,365.0,7,39,0,6,224,0,0,4,3,90.0,1041,3,0,2,5,2,4,4,1,1,384,14,6,0,0
14889,7,3,2,0,60,3.5,2,1,2,13125,16,5,3231,0.0,8,16,0,6,72,1,1,1,2,103.0,912,0,0,0,5,5,4,4,1,1,48,20,6,0,0
8580,5,0,1,4,190,3.0,3,0,3,5687,96,6,2496,0.0,9,8,0,6,0,5,1,1,1,55.0,936,3,1,0,5,3,0,4,6,1,210,18,12,0,0
9506,7,2,2,2,120,3.0,2,1,2,6371,1,5,2716,128.0,6,0,0,6,192,2,1,1,2,44.0,1358,0,4,0,2,2,4,5,1,1,733,16,12,0,0
10010,7,2,3,2,80,2.5,3,1,3,9967,7,5,1814,0.0,8,7,0,6,100,6,0,1,2,76.0,774,0,0,0,7,5,4,4,3,1,0,8,12,0,0
8547,7,2,2,2,20,3.0,2,0,3,7500,5,5,2442,0.0,6,4,0,6,0,2,1,1,2,62.0,1221,3,0,0,2,3,4,4,1,1,410,21,12,0,0
14658,7,2,2,2,60,2.5,2,1,3,9375,6,5,3006,0.0,8,5,0,6,182,6,0,1,0,75.0,912,3,0,0,5,2,4,4,3,1,0,21,12,0,0
4320,5,1,3,4,20,1.0,3,1,3,8281,44,5,1728,0.0,5,44,0,6,0,5,0,1,3,60.0,864,0,0,2,2,4,4,4,5,1,553,19,8,0,0
5265,5,2,0,4,20,2.0,3,0,3,8973,48,7,2061,85.0,6,15,0,6,0,5,0,1,2,69.0,1053,3,0,4,2,3,4,0,0,1,567,12,9,180,0
8505,5,2,3,2,85,3.0,3,2,1,16647,32,5,3091,0.0,6,26,0,3,0,0,1,1,0,70.5,1701,0,0,4,6,5,4,4,2,1,1390,19,6,0,0
5280,5,1,3,4,20,2.0,3,0,3,8176,49,6,2112,0.0,6,15,0,6,0,5,1,1,2,70.0,1056,3,0,1,2,3,4,4,1,1,846,12,13,0,0
3489,3,1,3,4,20,2.0,3,0,3,5820,51,8,2325,0.0,6,1,0,6,142,0,1,1,3,49.0,1163,3,0,0,2,3,4,4,1,1,256,17,12,0,0
11655,7,2,2,2,60,2.5,2,0,3,8125,1,6,2478,0.0,7,1,0,6,0,6,0,1,2,65.0,822,3,0,0,5,3,4,4,1,1,0,21,5,0,0
7176,6,2,2,4,50,1.0,3,0,2,12354,89,8,1880,0.0,7,9,0,6,0,6,0,1,3,67.0,684,3,0,2,0,3,0,4,5,1,0,7,13,0,0
28260,9,3,0,0,60,3.5,0,2,3,13518,1,5,5066,860.0,11,0,0,6,144,6,0,3,0,104.0,1966,3,0,0,5,2,4,5,3,1,0,16,12,0,0
11774,7,2,3,4,20,2.0,3,1,3,10400,38,6,2986,288.0,7,38,0,6,98,6,0,3,3,80.0,1682,3,0,2,2,2,4,4,1,1,0,14,9,0,0
5360,5,2,3,2,180,2.0,3,0,1,3675,1,5,1619,80.0,5,1,0,6,0,2,1,1,0,35.0,1072,3,4,2,7,3,4,4,2,1,547,7,12,0,0
10829,7,2,2,2,60,2.5,3,0,2,8640,1,5,2303,0.0,7,1,0,6,169,2,0,1,3,72.0,764,3,0,0,5,3,4,4,1,1,24,21,12,0,0
